1500.0, 7.0, 0.15, 19.064, 0.983, 1077.7781756954639, 17927.446469139995, 106573.75598431699, 80797.928041466032, 8117.8280915285559, 2047.4401478873069, 749.30045107245826, 112.94812661296295, 1318.5114644390294, 45193.293086577163, 114591.51161669701, 11268.672408548697, 10623.393041042349, 108017.4933797484, 18.036, 1.813, 5.323, 3.901, -2.25, 0.646, 6.28, 4.834, 2.954, 16230000000.0
1750.0, 7.0, 0.151, 18.393, 0.778, 2167.922221300038, 30021.524783753772, 162616.49033085685, 146863.72380096727, 26555.480371637022, 6479.2617771343375, 2088.1914142758956, 353.50319533067881, 2694.0039123754727, 70629.852591793446, 200016.93139128975, 34656.688708481233, 29442.695091420206, 161662.17099110116, 17.591, 1.725, 5.062, 3.674, -1.282, 1.197, 5.929, 4.562, 2.768, 13380000000.0
2000.0, 7.0, 0.151, 17.812, 0.538, 3955.8853555125897, 46113.994788136981, 222620.20773564381, 232763.31607164233, 69848.030030922935, 16200.392131674807, 4753.0272676020204, 916.20644771645948, 5007.2378578195303, 101341.72673726927, 296119.33141882072, 87697.470193497749, 68893.390961119541, 219689.04791524602, 17.258, 1.626, 4.77, 3.451, -0.494, 1.624, 5.561, 4.283, 2.582, 10780000000.0
2250.0, 7.0, 0.151, 17.297, 0.31, 6742.8530798891115, 67147.948110033467, 289710.73215496674, 338621.50512462168, 153374.85386297197, 34795.695913275733, 9536.0892224593863, 2096.9754388674037, 8693.5713354325871, 138735.72238976575, 396886.89608943759, 184921.35432794451, 139629.62171567159, 285370.06011053384, 16.974, 1.534, 4.495, 3.252, 0.121, 1.885, 5.212, 4.016, 2.417, 7879000000.0
2500.0, 7.0, 0.152, 16.837, 0.094, 10734.382247083317, 92932.175840197262, 360659.97065893235, 456297.29593588738, 285027.99727173836, 65865.635455645432, 17318.236461045388, 4284.7619936552455, 14071.214435723019, 181853.49798541327, 493628.3788916546, 326377.6603301983, 248033.83075593945, 355256.28181199107, 16.729, 1.448, 4.247, 3.072, 0.589, 1.995, 4.899, 3.778, 2.268, 5479000000.0
2750.0, 7.0, 0.152, 16.42, -0.097, 16686.953520827792, 126522.01662762729, 444117.55785563239, 589451.25284911203, 463540.32538244472, 115733.44642015347, 29819.727136450976, 8082.1462160890896, 22158.05221496768, 235354.04084585578, 597310.45917464362, 503640.24301563308, 397476.00927388138, 437866.54670306097, 16.502, 1.367, 4.016, 2.905, 0.913, 1.999, 4.607, 3.557, 2.129, 3943000000.0
3000.0, 7.0, 0.152, 16.039, -0.259, 25631.679044688459, 171303.44837543287, 543372.86028545047, 732567.91767541191, 663265.673165616, 191187.23226347807, 49992.363002331185, 14626.038191046508, 34508.936982812302, 303194.73760884086, 712196.96646331856, 692660.50440670794, 573998.71582987893, 536218.46620881336, 16.282, 1.288, 3.791, 2.742, 1.096, 1.938, 4.325, 3.345, 1.993, 3472000000.0
3250.0, 7.0, 0.153, 15.689, -0.392, 39041.744358326861, 229994.93003778049, 659857.41317815229, 880643.3343363998, 851215.80420909612, 297174.15964620683, 81894.704894080875, 25484.660959316054, 53196.583197207467, 387680.37450836552, 838981.29161105864, 870307.21104504156, 751040.01727403898, 652369.91274368903, 16.062, 1.209, 3.57, 2.58, 1.16, 1.84, 4.047, 3.136, 1.858, 3145000000.0
3500.0, 7.0, 0.153, 15.362, -0.491, 60803.588812309077, 314860.55933799816, 813298.74126656493, 1053901.5718259241, 1036667.9654502432, 438743.85140469554, 132940.04525457759, 44083.783436475285, 83691.959952790799, 504514.69021312473, 1001272.4728484806, 1053107.1998322376, 927391.42921627359, 804811.03630891873, 15.834, 1.129, 3.345, 2.414, 1.146, 1.719, 3.764, 2.924, 1.719, 2927000000.0
3750.0, 7.0, 0.154, 15.058, -0.546, 97521.399119423804, 439834.17672216048, 1016297.3897204621, 1264651.205140888, 1228033.992402904, 604479.74530861073, 208365.84531791112, 74173.636258902188, 135723.3118556602, 668104.69902021892, 1208155.9208909213, 1250959.6219866148, 1103656.1505078187, 1005691.1610919266, 15.585, 1.044, 3.105, 2.237, 1.086, 1.583, 3.464, 2.699, 1.572, 2803000000.0
4000.0, 7.0, 0.155, 14.771, -0.545, 167297.30542595309, 645770.19297166972, 1316466.5626371519, 1554389.2529223075, 1462848.7032460438, 772984.48300980101, 309325.37986094144, 116369.34581364581, 235420.06279886345, 923918.25689416041, 1501453.9239673191, 1505332.0718443838, 1306239.4942646162, 1302727.724491565, 15.297, 0.949, 2.836, 2.038, 0.993, 1.425, 3.13, 2.447, 1.406, 2550000000.0
4250.0, 7.0, 0.157, 14.497, -0.5, 296702.35389491316, 973890.30173141754, 1743579.9992897091, 1949807.922277184, 1763727.3795785152, 927689.88576650224, 425841.12518398807, 163632.90428018747, 421381.55065528344, 1311189.8985025866, 1907849.247318163, 1836810.5296500332, 1554729.5616249798, 1725383.7426706748, 14.978, 0.855, 2.559, 1.834, 0.888, 1.264, 2.787, 2.186, 1.238, 2229000000.0
4500.0, 7.0, 0.159, 14.235, -0.429, 531157.74676389899, 1483927.1101756443, 2339615.051435296, 2477960.383145568, 2142564.8950036885, 1082194.5682018262, 541689.14001189522, 214177.16553713533, 761338.94343606685, 1881776.8559743948, 2458366.2392927953, 2264471.6527381819, 1859333.8864487384, 2315198.485586287, 14.645, 0.765, 2.284, 1.636, 0.779, 1.107, 2.45, 1.928, 1.075, 1955000000.0
